food_name,calories,protein,carbs,fats
apple_pie,100,100,100,100
baby_back_ribs,100,100,100,100
baklava,200,62,72,62
beef_carpaccio,200,62,72,62
beef_tartare,200,62,72,62
beet_salad,200,62,72,62
beignets,200,62,72,62
bibimbap,100,100,100,100
boiled egg,200,62,72,62
bread_pudding,200,62,72,62
breakfast_burrito,200,62,72,62
bruschetta,200,62,72,62
caesar_salad,200,62,72,62
cannoli,200,62,72,62
caprese_salad,200,62,72,62
carrot_cake,200,62,72,62
ceviche,200,62,72,62
cheese_plate,200,62,72,62
cheesecake,200,62,72,62
chicken breast,200,62,72,62
chicken_curry,200,62,72,62
chicken_quesadilla,200,62,72,62
chicken_wings,200,62,72,62
chocolate_cake,200,62,72,62
chocolate_mousse,200,62,72,62
churros,200,62,72,62
clam_chowder,200,62,72,62
club_sandwich,200,62,72,62
crab_cakes,200,62,72,62
creme_brulee,200,62,72,62
croque_madame,200,62,72,62
cup_cakes,200,62,72,62
deviled_eggs,200,62,72,62
donuts,200,62,72,62
dumplings,200,62,72,62
edamame,200,62,72,62
eggs_benedict,200,62,72,62
escargots,200,62,72,62
falafel,200,62,72,62
filet_mignon,200,62,72,62
fish_and_chips,200,62,72,62
foie_gras,200,62,72,62
french_fries,200,62,72,62
french_onion_soup,200,62,72,62
french_toast,200,62,72,62
fried egg,200,62,72,62
fried_calamari,200,62,72,62
fried_rice,200,62,72,62
frozen_yogurt,200,62,72,62
garlic_bread,200,62,72,62
gnocchi,200,62,72,62
greek_salad,200,62,72,62
grilled_cheese_sandwich,200,62,72,62
grilled_salmon,200,62,72,62
guacamole,200,62,72,62
gyoza,200,62,72,62
hamburger,200,62,72,62
hot_and_sour_soup,200,62,72,62
hot_dog,300,12,30,15
huevos_rancheros,200,62,72,62
hummus,200,62,72,62
ice_cream,200,62,72,62
lasagna,200,62,72,62
lobster_bisque,200,62,72,62
lobster_roll_sandwich,200,62,72,62
macaroni_and_cheese,200,62,72,62
macarons,200,62,72,62
miso_soup,200,62,72,62
Multigrain rice,200,62,72,62
mussels,200,62,72,62
nachos,200,62,72,62
omelette,200,62,72,62
onion_rings,200,62,72,62
oysters,200,62,72,62
pad_thai,200,62,72,62
paella,200,62,72,62
pancakes,200,62,72,62
panna_cotta,200,62,72,62
peking_duck,200,62,72,62
pho,200,62,72,62
pizza,500,20,50,25
pork,200,62,72,62
pork_chop,200,62,72,62
poutine,200,62,72,62
prime_rib,200,62,72,62
pulled_pork_sandwich,200,62,72,62
ramen,200,62,72,62
ravioli,200,62,72,62
red_velvet_cake,200,62,72,62
risotto,200,62,72,62
samosa,200,62,72,62
sashimi,200,62,72,62
scallops,200,62,72,62
seaweed_salad,200,62,72,62
shrimp_and_grits,200,62,72,62
spaghetti_bolognese,200,62,72,62
spaghetti_carbonara,200,62,72,62
spring_rolls,200,62,72,62
steak,100,100,100,100
strawberry_shortcake,200,62,72,62
white rice,200,62,72,62